time,aceptados,rechazados_lleno,rechazados_tasa,ocupacion_buffer
28553,3794,12454,229,150
28603,3799,12483,229,150
28654,3806,12549,229,150
28705,3814,12570,229,150
28756,3819,12608,229,150
28806,3824,12635,229,150
28857,3829,12663,229,150
28908,3835,12683,229,150
28960,3842,12697,229,150
29019,3848,12724,229,150
29069,3856,12746,229,150
29119,3863,12774,229,150
29169,3873,12794,229,150
29222,3880,12820,229,150
29274,3887,12840,229,149
29324,3893,12860,229,150
29376,3899,12892,229,150
29426,3906,12915,229,150
29480,3913,12938,229,150
29530,3918,12954,229,150
29580,3925,12979,229,150
29630,3931,12992,229,150
29682,3937,13006,229,150
29732,3942,13031,229,150
29783,3947,13057,229,150
29833,3955,13078,229,150
29884,3961,13106,229,150
29934,3967,13126,229,150
29984,3972,13143,229,150
30034,3982,13159,229,150
30084,3989,13188,229,150
30136,3998,13207,229,150
30186,4003,13228,229,150
30236,4011,13247,229,150
30286,4018,13270,229,150
30340,4023,13297,229,149
30390,4030,13326,229,150
30440,4037,13343,229,150
30491,4047,13354,229,150
30541,4054,13380,229,150
30592,4061,13394,229,150
30647,4067,13418,229,150
30698,4071,13439,229,150
30752,4079,13458,229,150
30802,4085,13472,229,150
30857,4092,13496,229,150
30907,4099,13513,229,150
30959,4104,13537,229,150
31009,4109,13563,229,150
31060,4114,13585,229,150
31110,4124,13611,229,150
31162,4132,13627,229,150
31220,4139,13649,229,147
31271,4149,13665,229,149
31324,4156,13684,229,149
31376,4163,13706,229,150
31426,4168,13727,229,150
31476,4175,13743,229,150
31527,4181,13761,229,150
31577,4188,13778,229,150
31629,4193,13797,229,150
31684,4200,13817,229,149
31736,4207,13837,229,150
31786,4213,13856,229,150
31836,4221,13874,229,150
31886,4228,13898,229,150
31936,4232,13925,229,150
31986,4240,13940,229,150
32037,4249,13957,229,150
32087,4254,13985,229,150
32138,4261,13998,229,150
32188,4269,14010,229,150
32239,4273,14044,229,150
32289,4280,14067,229,150
32341,4286,14094,229,150
32392,4292,14118,229,150
32445,4299,14133,229,150
32498,4305,14144,229,150
32551,4312,14164,229,150
32604,4321,14177,229,150
32655,4325,14195,229,150
