time,aceptados,rechazados_lleno,rechazados_tasa,ocupacion_buffer
42117,6307,0,17652,1
42168,6320,0,17667,1
42218,6334,0,17680,1
42275,6348,0,17700,1
42327,6361,0,17718,1
42378,6374,0,17739,1
42429,6393,0,17754,1
42482,6408,0,17757,1
42536,6427,0,17771,1
42586,6447,0,17782,1
42636,6450,0,17802,0
42688,6450,0,17826,0
42739,6450,0,17854,0
42789,6450,0,17874,0
42842,6450,0,17903,0
42893,6450,0,17930,0
42943,6450,0,17955,0
42993,6450,0,17987,0
43043,6450,0,18015,0
43095,6453,0,18033,1
43145,6463,0,18044,1
43195,6478,0,18060,2
43245,6491,0,18075,0
43295,6505,0,18090,1
43346,6515,0,18111,3
43396,6530,0,18122,2
43448,6548,0,18141,1
43499,6564,0,18153,1
43550,6581,0,18156,4
43602,6600,0,18170,1
43653,6600,0,18199,0
43703,6600,0,18222,0
43753,6600,0,18253,0
43803,6600,0,18282,0
43855,6600,0,18319,0
43905,6600,0,18348,0
43955,6600,0,18384,0
44007,6600,0,18417,0
44058,6600,0,18447,0
44109,6606,0,18470,1
44160,6618,0,18498,2
44211,6630,0,18508,1
44263,6642,0,18525,1
44314,6657,0,18593,0
44364,6669,0,18613,1
44416,6687,0,18628,2
44466,6703,0,18645,0
44516,6717,0,18663,3
44569,6735,0,18670,1
44623,6750,0,18689,0
44673,6750,0,18708,0
44724,6750,0,18729,0
44774,6750,0,18750,0
44827,6750,0,18783,0
44878,6750,0,18805,0
44934,6750,0,18848,0
44985,6750,0,18879,0
45038,6750,0,18914,0
45089,6752,0,18941,0
45142,6760,0,18970,1
45192,6774,0,18986,0
45244,6791,0,18996,1
45297,6804,0,19014,1
45353,6814,0,19048,1
45405,6829,0,19064,1
45456,6850,0,19071,2
45510,6864,0,19085,0
45563,6881,0,19098,1
45614,6900,0,19113,0
45664,6900,0,19148,0
45715,6900,0,19177,0
45765,6900,0,19193,0
45815,6900,0,19222,0
45867,6900,0,19251,0
45920,6900,0,19277,0
45971,6900,0,19306,0
46022,6900,0,19330,0
46078,6901,0,19352,0
46128,6907,0,19371,0
46180,6922,0,19382,1
46230,6938,0,19402,1
46280,6948,0,19413,2
46330,6960,0,19424,0
46385,6972,0,19440,1
46439,6989,0,19454,1
46492,7008,0,19465,1
46545,7024,0,19478,1
46595,7046,0,19480,2
46648,7050,0,19507,0
46699,7050,0,19534,0
46749,7050,0,19561,0
46800,7050,0,19596,0
46850,7050,0,19626,0
46904,7050,0,19649,0
46955,7050,0,19681,0
47005,7050,0,19704,0
47055,7050,0,19728,0
47106,7054,0,19752,1
47157,7065,0,19773,2
47209,7077,0,19798,0
47259,7091,0,19821,0
47312,7106,0,19829,1
47362,7115,0,19850,1
47412,7130,0,19867,1
47466,7151,0,19882,1
47517,7164,0,19897,0
47570,7183,0,19906,1
47620,7200,0,19925,0
47671,7200,0,19961,0
47723,7200,0,19999,0
47780,7200,0,20025,0
47834,7200,0,20055,0
47884,7200,0,20086,0
47935,7200,0,20121,0
47985,7200,0,20205,0
48035,7200,0,20238,0
48085,7201,0,20264,0
48136,7208,0,20283,0
48187,7223,0,20297,0
48237,7237,0,20308,2
48287,7248,0,20329,1
48338,7261,0,20346,1
48390,7272,0,20362,1
48442,7288,0,20370,1
48492,7307,0,20375,1
48543,7322,0,20393,1
48593,7344,0,20408,1
48645,7350,0,20442,0
48697,7350,0,20472,0
48747,7350,0,20492,0
48797,7350,0,20515,0
48849,7350,0,20535,0
48899,7350,0,20557,0
48949,7350,0,20586,0
48999,7350,0,20607,0
49051,7350,0,20650,0
49101,7352,0,20672,0
49151,7361,0,20684,1
49203,7376,0,20707,1
49258,7391,0,20719,1
49308,7403,0,20742,3
49359,7414,0,20756,2
49409,7428,0,20773,0
49462,7445,0,20793,1
49513,7464,0,20804,0
49564,7479,0,20821,1
49615,7500,0,20835,0
49668,7500,0,20863,0
49718,7500,0,20898,0
49769,7500,0,20924,0
49825,7500,0,20962,0
49876,7500,0,20989,0
49928,7500,0,21017,0
49979,7500,0,21047,0
50031,7500,0,21074,0
50082,7501,0,21096,0
50132,7507,0,21112,1
50185,7521,0,21123,1
50235,7534,0,21139,1
50286,7547,0,21153,1
50336,7560,0,21166,0
50387,7571,0,21189,0
50437,7587,0,21204,2
50487,7603,0,21229,0
50543,7618,0,21241,1
50594,7642,0,21247,1
50644,7650,0,21261,0
50694,7650,0,21301,0
50744,7650,0,21333,0
50794,7650,0,21362,0
50844,7650,0,21385,0
50894,7650,0,21408,0
50944,7650,0,21430,0
50994,7650,0,21464,0
51048,7650,0,21498,0
51099,7652,0,21521,0
51150,7659,0,21543,0
51200,7675,0,21568,1
51250,7689,0,21594,1
51300,7699,0,21623,0
51353,7712,0,21637,0
51403,7724,0,21653,1
51454,7741,0,21671,0
51504,7759,0,21696,0
51559,7773,0,21707,1
51610,7796,0,21712,1
51660,7800,0,21737,0
51710,7800,0,21762,0
51763,7800,0,21794,0
51815,7800,0,21835,0
51865,7800,0,21861,0
51918,7800,0,21888,0
51972,7800,0,21918,0
